LIMS_ID,Service_ID,Service_Name,Table_ID
8,10234,-HLA B*51/HLA B*52 - Jeenomics,8_10234
8,10235,1645 -C-VGKC (VOLTAGE GATED POTASSIUM CHANNEL)   ANTIBODY#,8_10235
8,10236,-Eka Care - VP Mini Health,8_10236
8,10237,10237-MOG (Myelin Oligodendrocyte Glycoprotein) antibody detection,8_10237
8,10238,-Dummy test,8_10238
8,10239,-HLA (A B DRB1) Typing by NGSHLA-A B DR,8_10239
8,1024,-BR_Serology,8_1024
8,10240,-23AM-06HC HEALTHI,8_10240
8,10241,-22A01 - 01 HEALTHI,8_10241
8,10242,-D-Chimerism StudyCHIMS,8_10242
8,10243,-22A01 - 02R HEALTHI,8_10243
8,10244,-19A04 - 04 HEALTHI,8_10244
8,10245,-22A01 – R10 HEALTHI,8_10245
8,10246,-20S02 R14F Healthi,8_10246
8,10247,10247-23AM-05HC HEALTHI,8_10247
8,10248,-HDFC Life Regular Package Male (MFCHC 1217),8_10248
8,10249,-HDFC Life Regular Package Female (MFCHC 1217),8_10249
8,10250,-THANE -DEFENCE TEAM,8_10250
8,10251,10251-EK - SA Camp,8_10251
8,10252,10252-Pfizer Package - Sodexo On-Site,8_10252
8,10253,10253-Indira IVF Anemia Profile1,8_10253
8,10254,-Free Diet consultation,8_10254
8,10255,10255-Kongsberg AHC Package for Men 1,8_10255
8,10256,10256-Kongsberg AHC Package for Women 2,8_10256
8,10257,10257-Dr Vazirani Package,8_10257
8,10258,-ILGIC Package 1 Male 35-40yrs,8_10258
8,10260,-QUANTUM PACKAGE - 76,8_10260
8,10261,-ILGIC Package 2  Female 35-40yrs,8_10261
8,10262,10262-ILGIC Package 3 Male above 40yrs	,8_10262
8,10263,10263-ILGIC Package 4 Female above 40yrs,8_10263
8,10264,-QUANTUM PACKAGE - 76A,8_10264
8,10265,-MMR Vaccine,8_10265
8,10266,-Hepatitis B Vaccine,8_10266
8,10267,10267-OPV Vaccine,8_10267
8,10268,10268-Zyla0069 - Pre-Employment Checkup,8_10268
8,10269,10269-Zyla0070 - Fit to travel,8_10269
8,1027,PIH-PIH PROFILE,8_1027
100,1027,-PIH PROFILE,100_1027
8,10270,-X-Ray Lumbar Spine Flexion & Extension ViewXLUSPF,8_10270
8,10271,10271-Zyla0071 - Upto 40 yrs Male,8_10271
8,10272,10272-Zyla0072 - 40 to 50 yrs - Male,8_10272
8,10273,-VH00FRM- In-centre package,8_10273
8,10274,-VH00FRM- Radiology package,8_10274
8,10275,10275-Zyla0073 - Above 50 yrs - Male,8_10275
8,10565,10565-OPG (Orthopantomogram),8_10565
8,10566,10566-X-Ray Ankle AP View (Both),8_10566
8,10567,10567-X-Ray Ankle AP View (Right) ,8_10567
8,10568,10568-X-Ray Ankle AP/Lat View (Right),8_10568
8,10569,10569-X-Ray Ankle AP/Lat/Obl View (Both),8_10569
8,10570,10570-X-Ray Ankle AP/Lat/Obl View (Left),8_10570
8,10571,10571-X-Ray Ankle AP/Obl View (Left),8_10571
8,10572,10572-X-Ray Ankle AP/Obl View (Right),8_10572
8,10573,10573-X-Ray Ankle Lat View (Both),8_10573
8,10574,10574-X-Ray Ankle Lat View (Left),8_10574
8,10575,10575-X-Ray Ankle Lat View (Right),8_10575
8,10576,10576-X-Ray Ankle Lat/Mortise View (Right),8_10576
8,10577,10577-X-Ray Arm AP/Lat View (Left),8_10577
8,10578,10578-X-Ray Arm AP/Lat View (Right),8_10578
8,10579,10579-X-Ray Ascending Urethrography (ASU),8_10579
8,10580,10580-X-Ray Barium Meal I C Region,8_10580
8,10581,10581-X-Ray Barium Meal Stomach & Duodenum,8_10581
8,10582,10582-X-Ray Calcaneum AP/Lat View,8_10582
8,10583,10583-X-Ray Calcaneum AP/Lat View (Both),8_10583
8,10584,10584-X-Ray Calcaneum Axial /Lat View (Both),8_10584
8,10585,10585-X-Ray Calcaneum Axial ViewAXIAL,8_10585
8,10586,10586-X-Ray Calcaneum Axial View (Both),8_10586
8,10587,10587-X-Ray Calcaneum Axial/Lat View (Left),8_10587
8,10588,10588-X-Ray Calcaneum Axial/Lat View (Right) ,8_10588
8,10589,10589-X-Ray Calcaneum Lat View (Both),8_10589
8,10590,10590-X-Ray Calcaneum Lat View (Left),8_10590
8,10591,10591-X-Ray Calcaneum Lat View (Right),8_10591
8,10592,10592-X-Ray Calcaneum Lat/Obl View,8_10592
8,10593,10593-X-Ray Calcaneum Lat/Obl View (Both),8_10593
8,10594,10594-X-Ray Cervical Spine AP/Lat/Obl View,8_10594
8,10595,10595-X-Ray Cervical Spine AP/Lat/Obl View (Both),8_10595
8,10596,10596-X-Ray Cervical Spine AP/Obl View,8_10596
8,10597,10597-X-Ray Cervical Spine Lat/Obl  View (Both),8_10597
8,10598,10598-X-Ray Cervical Spine Obl View (Both)XCERV,8_10598
8,106,G549-S.Typhi antibody IgG & IgMTyphi Dot | TYPHIAG,8_106
100,106,G549-S.Typhi antibody IgG & IgM,100_106
100,1060,T3011-PrePGD Work Up,100_1060
8,1060,T3011-Pre PGT-M Work Up,8_1060
8,10600,10600-X-Ray Cervical Spine Obl View (Left),8_10600
8,10601,10601-X-Ray Cervical Spine Obl View (Right),8_10601
8,10602,10602-X-Ray Cervico - Dorsal Spine AP/Lat View,8_10602
8,10603,10603-X-Ray Cervico -Thoracic AP/Lat View,8_10603
8,10604,10604-X-Ray Cervico-Dorsal Spine Lat View,8_10604
8,10605,10605-X-Ray Chest AP/Lat ViewCAPLAT,8_10605
8,10606,10606-X-Ray Chest Decubitous View,8_10606
8,10607,10607-X-Ray Chest Lordotic View,8_10607
8,10608,10608-X-Ray Chest Obl View (Both),8_10608
8,10609,10609-X-Ray Chest Obl View (Left),8_10609
8,1061,-PRE OPERATIVE PROFILE 2 - PMJAY,8_1061
8,10610,10610-X-Ray Chest Obl View (Right) ,8_10610
8,10611,10611-X-Ray Chest PA and Apical Lordotic View,8_10611
8,10612,10612-X-Ray Chest PA View (Screening),8_10612
8,10613,10613-X-Ray Chest PA/Lat View,8_10613
8,10614,10614-X-Ray Chest PA/Obl View (Left),8_10614
8,10615,10615-X-Ray Chest PA/Obl View (Right) ,8_10615
8,10616,10616-X-Ray Clavical Axial/Lat View,8_10616
8,10617,10617-X-Ray Clavicle AP ViewCLAVAP,8_10617
8,10618,10618-X-Ray Clavicle AP View (Left) ,8_10618
8,10619,10619-X-Ray Clavicle AP View (Right),8_10619
8,1062,T2554-Gilbert SyndromeGS076,8_1062
100,1062,T2554-GILBERT SYNDROME,100_1062
8,10620,10620-X-Ray Clavicle AP/Lat View,8_10620
8,10621,10621-X-Ray Clavicle Lat View (Left) ,8_10621
8,10622,10622-X-Ray Clavicle Lat View (Right),8_10622
8,10623,10623-X-Ray Coccyx AP View,8_10623
8,10624,10624-X-Ray Coccyx AP/Lat ViewCOCAL,8_10624
8,10625,10625-X-Ray Coccyx Lat View,8_10625
8,10626,10626-X-Ray Dorsal Spine AP/Lat /Obl View (Both),8_10626
8,10627,10627-X-Ray Dorsal Spine AP/Lat View [D-S],8_10627
8,10628,10628-X-Ray Dorsal Spine Lat View (Flexion & Extension),8_10628
8,10629,10629-X-Ray Dorsal Spine Obl View (Both),8_10629
8,1063,-Ohm Hospital Camp Profile,8_1063
8,10630,10630-X-Ray Dorso Lumbar Lat View,8_10630
8,10631,10631-X-Ray Dorso Lumbar Spine AP View,8_10631
8,10632,10632-X-Ray Dorso Lumbar Spine Lat View,8_10632
8,10633,10633-X-Ray Dorso Lumber Spine AP/Lat ViewDLSAP,8_10633
8,10634,10634-X-Ray Dorso-Lumber AP View,8_10634
8,10635,10635-X-Ray Dorso-Lumber AP/Lat View,8_10635
8,10636,10636-X-Ray Dorso-Lumber Lat View,8_10636
8,10637,10637-X-Ray Dorso-Lumber Lat View (Flexion & Extension),8_10637
8,10638,10638-X-Ray Dorso-Lumber Spine Obl View (Both),8_10638
8,10639,10639-X-Ray Elbow AP View (Both),8_10639
8,1064,-HEP B EVALUATION,8_1064
8,10640,10640-X-Ray Elbow AP View (Left),8_10640
8,10641,10641-X-Ray Elbow AP View (Right),8_10641
8,10642,10642-X-Ray Elbow AP/Lat View (Both),8_10642
8,10643,10643-X-Ray Elbow AP/Lat View (Right),8_10643
8,10644,10644-X-Ray Elbow AP/Lat/Obl View (Left),8_10644
8,10645,10645-X-Ray Elbow AP/Lat/Obl View (Right),8_10645
8,10646,10646-X-Ray Elbow Lat View (Both),8_10646
8,10647,10647-X-Ray Elbow Obl View,8_10647
8,10648,10648-X-Ray Face AP View,8_10648
8,10649,10649-X-Ray Face OM View,8_10649
8,1065,T3574-ZIKA Qualitative by Real-time PCRZ0006 | ZIKA,8_1065
100,1065,T3574-ZIKA Qualitative by Real-time PCR,100_1065
8,10650,10650-X-Ray Feet AP/Lat View,8_10650
8,10651,10651-X-Ray Feet AP/Lat View (Both),8_10651
8,10652,10652-X-Ray Feet AP/Lat/Obl View (Both),8_10652
8,10653,10653-X-Ray Feet AP/Obl View (Both),8_10653
8,10654,10654-X-Ray Feet Lat/Obl View,8_10654
8,10655,10655-X-Ray Femur AP View (Left),8_10655
8,10656,10656-X-Ray Femur AP View (Right),8_10656
8,10657,10657-X-Ray Femur AP/Lat View (Both)FALA,8_10657
8,10658,10658-X-Ray Femur AP/Lat View (Left),8_10658
8,10659,10659-X-Ray Femur AP/Lat View (Right),8_10659
8,1066,T4123-West Nile Virus Qualitative by Real-time PCRW0008 | WESTNILE,8_1066
100,1066,T4123-West Nile Virus Qualitative by Real-time PCR,100_1066
8,10660,10660-X-Ray Femur Lat View (Both),8_10660
8,10661,10661-X-Ray Femur Lat View (Left),8_10661
8,10662,10662-X-Ray Femur Lat View (Right),8_10662
8,10663,10663-X-Ray Finger AP View,8_10663
8,10664,10664-X-Ray Finger AP/Lat (Both),8_10664
8,10665,10665-X-Ray Finger Lat View,8_10665
8,10666,10666-X-Ray Fistulogram (Including Dye),8_10666
8,10667,10667-X-Ray Foot AP View (Right),8_10667
8,10668,10668-X-Ray Foot AP/Lat View (Both)XFTAPLAT,8_10668
8,10669,10669-X-Ray Foot AP/Lat View (Right),8_10669
8,1067,G2405-VZV (Varicella-Zoster Virus) Qualitative by Real-time PCRV0006 | VARICELLA,8_1067
100,1067,G2405-VZV (Varicella-Zoster Virus) Qualitative by Real-time PCR,100_1067
8,10670,10670-X-Ray Foot AP/Lat/Obl View (Both),8_10670
8,10671,10671-X-Ray Foot AP/Lat/Obl View (Left),8_10671
8,10672,10672-X-Ray Foot AP/Lat/Obl View (Right),8_10672
8,10673,10673-X-Ray Foot AP/Obl View (Right),8_10673
8,10674,10674-X-Ray Foot Lat View (Both),8_10674
8,10675,10675-X-Ray Foot Lat View (Left),8_10675
8,10676,10676-X-Ray Foot Lat View (Right),8_10676
8,10677,10677-X-Ray Foot Obl View (Left),8_10677
8,10678,10678-X-Ray Foot Obl View (Right),8_10678
8,10679,10679-X-Ray Fore Arm AP/Lat View (Right),8_10679
8,1068,T2526-Toxoplasma gondii Qualitative by Real-time PCRT0041 | TOXOPLASM,8_1068
8,1100,T3093-PGT-A FOR 8 EMBRYOS (Extended),8_1100
100,1100,T3093-PGS FOR 8 EMBRYOS (Extended),100_1100
8,11000,11000-CT Pelvis With Both Hips,8_11000
8,11001,11001-CT PNS and Orbit,8_11001
8,11002,11002-CT PNS with Mandible,8_11002
8,11003,11003-CT Sacro Iliac Joint,8_11003
8,11004,11004-CT Sacrum & Coccyx,8_11004
8,11005,11005-CT Scanogram,8_11005
8,11006,11006-CT Scapula including Shoulder,8_11006
8,11007,11007-CT Scapula Left,8_11007
8,11008,11008-CT Scapula Right,8_11008
8,11009,11009-CT Sella/Pituitary,8_11009
8,1101,T3092-PGT-A FOR 7 EMBRYOS (Extended),8_1101
100,1101,T3092-PGS FOR 7 EMBRYOS (Extended),100_1101
8,11010,11010-CT Shoulder Joint Left,8_11010
8,11011,11011-CT Shoulder Joint Right,8_11011
8,11012,11012-CT Skull,8_11012
8,11013,11013-CT Cervico Dorsal Spine,8_11013
8,11014,11014-CT Thoracic Spine,8_11014
8,11015,11015-CT Sterno-Clavicular Joint,8_11015
8,11016,11016-CT Submadibular Gland,8_11016
8,11017,11017-CT Testes,8_11017
8,11018,11018-CT Thigh Both,8_11018
8,11019,11019-CT Thigh Left,8_11019
8,1102,T3091-PGT-A FOR 6 EMBRYOS (Extended),8_1102
100,1102,T3091-PGS FOR 6 EMBRYOS (Extended),100_1102
8,11020,11020-CT Thigh Right,8_11020
8,11021,11021-CT Thorax & Dorsal Lumbar Spine,8_11021
8,11022,11022-CT Thorax (HR)CTHCRTTHO,8_11022
8,11023,11023-CT Thorax (Inspiration/Expiration/Prone),8_11023
8,11024,11024-CT Thyroid Gland,8_11024
8,11025,11025-CT Tibia,8_11025
8,11026,11026-CT UrogramCTURO,8_11026
8,11027,11027-CT Venogram (Renal),8_11027
8,11028,11028-CT Venogram Neck,8_11028
8,11029,11029-CT Venogram Upper Limbs,8_11029
8,1103,T3097-PGT-A FOR 5 EMBRYOS (Stat),8_1103
100,1103,T3097-PGS FOR 5 EMBRYOS (Stat),100_1103
8,11030,11030-CT Wrist Left,8_11030
8,11031,11031-CT Wrist Right,8_11031
8,11032,11032-MRI/CT Film,8_11032
8,11033,11033-NON Ionic Contrast 100 ML,8_11033
8,11034,11034-NON Ionic Contrast 50 ML,8_11034
8,11035,11035-EndoscopyENDOSCOPY,8_11035
8,11036,11036-Endoscopy with Rut,8_11036
8,11037,11037-Fibroscan,8_11037
8,11038,11038-EVL Binding,8_11038
8,11039,11039-Consumables,8_11039
8,1104,T2496-17p (p53) By FISHTP53 deletion by FISH,8_1104
100,1104,T2496-17p (p53) By FISH,100_1104
8,11040,11040-BAER,8_11040
8,11041,11041-Bracial Plexus,8_11041
8,11042,11042-EEGEEG,8_11042
8,11043,11043-EMG & NCV Upper Limbs With Bracial Plexus (Both),8_11043
8,11044,11044-EMG + NCV (All Four Limbs),8_11044
8,11045,11045-EMG All Four Limbs,8_11045
8,11046,11046-EMG Limbs Lower,8_11046
8,11047,11047-EMG Limbs Upper ,8_11047
8,11048,11048-EMG Needle (Disposable),8_11048
8,11049,11049-ERB~S Stimulation,8_11049
8,1105,T3090-PGT-A FOR 5 EMBRYOS (Extended),8_1105
100,1105,T3090-PGS FOR 5 EMBRYOS (Extended),100_1105
8,11050,11050-F-Wave / H-Reflex,8_11050
8,11051,11051-NCV All Four Limbs,8_11051
8,11052,11052-NCV Both Facial Nerve Both Blink Reflex,8_11052
8,11053,11053-NCV Both Facial Nerves,8_11053
8,11054,11054-NCV Limbs Lower,8_11054
8,11055,11055-NCV Limbs Upper,8_11055
8,11056,11056-NCV of Lateral Femoral Cutneous Nerve,8_11056
8,11057,11057-NCV of Radial Nerve,8_11057
8,11058,11058-RNST,8_11058
8,11059,11059-VEP,8_11059
8,1106,T3089-PGT-A FOR 4 EMBRYOS (Extended),8_1106
100,1106,T3089-PGS FOR 4 EMBRYOS (Extended),100_1106
8,11060,11060-EMG Facial Nerves,8_11060
8,11061,11061-EMG and NCV Limbs Lower,8_11061
8,11062,11062-EMG and NCV Limbs Upper,8_11062
8,11063,11063-EMG and NCV Facial,8_11063
8,11064,11064-EMG + NCV (All Four Limbs) with Tongue,8_11064
8,11065,11065-NCV Facial,8_11065
8,11066,11066-Blink Reflex,8_11066
8,11067,11067-BAER with Thresold Stimulation,8_11067
8,11068,11068-Somato Sensory Evoked Potential (SSEP),8_11068
8,11069,11069-EEG (Sleep & Awake),8_11069
8,1107,T3088-PGT-A FOR 3 EMBRYOS (Extended),8_1107
100,1107,T3088-PGS FOR 3 EMBRYOS (Extended),100_1107
8,11070,11070-EMG and NCV of Tongue,8_11070
8,11071,11071-EMG of Thracic Paraspinal and Tongue Muscle,8_11071
8,11072,11072-Doppler AV Fistula Mapping,8_11072
8,11073,11073-Doppler AV Fistula Mapping (Both),8_11073
8,11074,11074-Doppler Evaluation Haemodyalysis AVF (Both),8_11074
8,11075,11075-Doppler IVC/ILIAC Venous/Pelvic,8_11075
8,11076,11076-Doppler Limb All Arterial & Venous (All Limbs),8_11076
8,11077,11077-Doppler Ovarian,8_11077
8,11078,11078-Doppler Parts,8_11078
8,11079,11079-Doppler Portal Vein,8_11079
8,1108,T2519-ALL Panel By FISHA0067 | ALLPANEL,8_1108
100,1108,T2519-ALL Panel By FISH,100_1108
8,11080,11080-Doppler Power Study (Single Organ),8_11080
8,11081,11081-Doppler Study of Testis,8_11081
8,11082,11082-Doppler Study Of Venous System Lower Limb (Single),8_11082
8,11083,11083-Doppler Venous Upper/Lower Limb (Both)VDB,8_11083
8,11084,11084-Localisation Of Undescended Testis (USG),8_11084
8,11085,11085-USG 3D (TVS),8_11085
8,11086,11086-USG Abdomen Lower (TVS) With 3D,8_11086
8,11087,11087-USG Ankle Both,8_11087
8,11088,11088-USG Ankle Left,8_11088
8,11089,11089-USG Ankle Right,8_11089
8,11376,-LC-MS UrineLCMS PLASMAURINE,8_11376
8,11377,11377-Healthifull Wellness Package Panel - I,8_11377
8,11378,11378-Healthifull Wellness Package Panel - II,8_11378
8,11379,11379-Healthifull Corporate Services Package,8_11379
8,1138,T2522-MM Panel By FISHM0150 | MMFISHCOM | Multiple myeloma FISH panel,8_1138
100,1138,T2522-MM Panel By FISH,100_1138
8,11380,11380-CN-BYR-IC-MA - Less than 35 Male,8_11380
8,11381,11381-CN-BYR-IC-FA - Less than 35 Female,8_11381
8,11382,11382-CN-BYR-IC-MB -  Above 35 years Male,8_11382
8,11383,-Macleod Screening,8_11383
8,11384,11384-CN-BYR-IC-FB - Above 35 years Female,8_11384
8,11385,-CBC MACLEODS,8_11385
8,11386,11386-EK - KA - 731 - 01HC,8_11386
8,11387,-MACLEODS SEROLOGY ,8_11387
8,11388,-Single Antigen Class II - JeenomicsSA-II,8_11388
8,11389,11389-Neu,8_11389
8,11390,11390-BRS Renal Profile - Pediatric,8_11390
8,11391,11391-BRS Renal Profile - Adult,8_11391
8,11392,-EKO77-01 Onsite Package.,8_11392
8,11393,-Inflammation and Hormonal Profile,8_11393
8,11394,11394-Alcon At Center Male - MFCHC 1237,8_11394
8,11395,11395-Alcon At Center Female - MFCHC 1237,8_11395
8,11396,11396-Bridge Health - Pre Employment,8_11396
8,11397,-HLA-B*57:01,8_11397
8,11398,11398-Ekincare - EK23 - MDY-01,8_11398
8,11399,11399-USG Guided_FNACUSG Guided FNAC,8_11399
8,114,G1988-Urinary Chloride-24 hoursUCL,8_114
100,114,G1988-Urinary Chloride-24 hours,100_114
100,1140,T2498-PDGFR Alpha By FISH,100_1140
8,1140,T2498-PDGFR Alpha By FISHF0076 | FISH4Q12,8_1140
8,11400,-Master Health Package-24H,8_11400
8,11401,11401-Bose Health Check - V1,8_11401
8,11402,11402-Bose Health Check - V2,8_11402
8,11403,11403-Bose Health Check - V3,8_11403
8,11404,11404-Bose Health Check - V4,8_11404
8,11405,11405-Mfine Lifecell Package With Mantoux Test,8_11405
8,11406,11406-Mfine Lifecell Package Without Mantoux Test,8_11406
8,11407,11407-Neuberg Women Basic - Bose,8_11407
8,11408,-Single Antigen Class I - JeenomicsSA-II,8_11408
8,11409,C2302-Visit-300,8_11409
8,1141,T2499-PDGFR Beta By FISHF0077 | FISH5Q33,8_1141
100,1141,T2499-PDGFR Beta By FISH,100_1141
8,11410,11410-Histopathology small specimen- multiple containersH0073 | HP5,8_11410
8,11411,-23A01-01R HEALTHI,8_11411
8,11412,-Macleod Post Study,8_11412
8,11413,-Drivers Health Check Up – SRIRAM TRAVELS,8_11413
8,11414,11414-Health Meter - QNT-HSPL1001,8_11414
8,11415,11415-VH00MIC - Male - Below 40,8_11415
8,11416,11416-VH00MIC - Female - Below 40,8_11416
8,11417,11417-VH00MIC - Male - Above 40,8_11417
8,11418,11418-VH00MIC - Female - Above 40,8_11418
8,11419,11419-Alliance Package - 1,8_11419
8,1142,T2560-Human Papilloma Virus (HPV) Genotyping by NGSGS097,8_1142
100,1142,T2560-Human Papilloma Virus (HPV) Genotyping by NGS,100_1142
8,11420,11420-Clinic Nallam RFT,8_11420
8,11421,G2469-Viral pathogens multiplex panel Qualitative by Real Time PCR,8_11421
8,11422,Mcr0101-CELLOPHANE PREPARATION,8_11422
8,11423,AS10400-LIVER & RENAL FUNCTION TESTLFRF,8_11423
8,11424,SHANTAEE TRU HE-TRU HEALTH PACKAGE,8_11424
8,11425,11189-COMPREHENSIVE HEALTH PACKAGE - AS,8_11425
8,11426,B12 D3 COMBO-Vit B12 D3 PACKAGE.,8_11426
8,11428,ADV CBC-ADVANCED COMPLETE BLOOD COUNTADVANCED CBC,8_11428
8,11429,Women 2024-Women's Day 2024 - AS,8_11429
8,1143,T2480-PML-RARA Detection By FISHF0047 | FISHPMLAML,8_1143
100,1143,T2480-PML/RARA Detection By FISH,100_1143
8,11430,AS REPUBLIC-REPUBLIC DAY PACKAGE - AS,8_11430
8,11431,DR. H L SHAH-ADVANCED HEALTH CHECK PACKAGE-AS,8_11431
8,11432,BAHETI TBP PACK-TBP HEALTH PACKAGE,8_11432
8,11433,VALENTINE'S DAY-VALENTINE'S DAY - AS,8_11433
8,11434,AS GOODNESS-GOODNESS - A1,8_11434
8,11435,11190-2000-HEALTH PACKAGE - AS,8_11435
8,11436,MAYURLAB2000-HEALTHPACKAGE-2 - AS,8_11436
8,11437,shant/shah feve-FEVER PANEL. - AS,8_11437
8,11439,AS GOOD FEMALE-GOODNESS B-B (FEMALE),8_11439
100,1144,T3068-GALACTOSEMIA (GALT) MUTATION ANALYSIS BY NEXT GENERATION SEQUENCING,100_1144
8,11440,NAHAR TOTAL BOD-TOTAL BODY PROFILE,8_11440
8,11442,AS GOOD MALE-GOODNESS B-A (MALE),8_11442
8,11443,NAHAR HEALTH FI-HEALTH FIRST PACKAGE,8_11443
8,11445,10106-AS DIABETIC PROFILE,8_11445
8,11446,AS TAX-Tax Benefits Package - AS,8_11446
8,11447,AS MOTHER-Mother's Day 2023 - AS,8_11447
8,11448,ASFEVER-AS PYREXIA PROFILE (FEVER PROFILE),8_11448
8,11449,ASCOM-ASCOMBO,8_11449
8,1145,T2540-Prader-Willi/ Angelman Syndromes By FISHF0042 | PASYNDROME,8_1145
100,1145,T2540-Prader-Willi/ Angelman Syndromes By FISH,100_1145
8,11450,SHANTAEE TRURAK-TRURAKSHA BASIC PACKAGE,8_11450
8,11451,AS CBCPERI-COMPLETE BLOOD COUNT WITH PERIPHERAL SMEAR STUDY,8_11451
8,11452,AS SHREE SAI-SHREE SAI PATHOLOGY PACKAGE,8_11452
8,11453,RAKESH CARDIAC-CARDIAC ENZYMES,8_11453
8,11454,AS GOODNESS C-GOODNESS C,8_11454
8,11455,TOTALWo/SEERANC-ANC PROFILE..,8_11455
8,11456,GOODNESS E-GOODNESS E,8_11456
8,11457,UDAY PAI HTN-Hypertension profile .,8_11457
8,11458,ASARTHP-AS ARTHRITIS PROFILE,8_11458
8,11459,TOR PANEL IGMAS-TORCH PANEL IGM AS,8_11459
8,1146,CY06-Pre/Post Natal Diagnosis Chromosome 13  18 & 21 By FISHCHROMO3 | K0020,8_1146
100,1146,-Pre/Post Natal Diagnosis Chromosome 13  18 & 21 By FISH,100_1146
8,11460,HEALTHY5-BAHETI-HEALTHY FIVE,8_11460
8,11461,HEALTHY3-BAHETI-HEALTHY 3,8_11461
8,11462,AS BLOOD SOL AD-Blood Solution Advance,8_11462
8,11463,NAHAR BAS WELL-BASIC WELLNESS,8_11463
8,11464,AS BLOOD SOLUTI-Blood Solution Basic,8_11464
8,11465,"MAYUR Vit B12,D-Vit B12 D3 PACKAGE",8_11465
8,11466,BAHETI EXTENDED-EXTENDED TBP HEALTH PACKAGE,8_11466
8,11815,11815-Injection Charge (150),8_11815
8,11816,11816-Injection Charge (200),8_11816
8,11817,11817-Nutritionist Charges,8_11817
8,11818,11818-Physical Examination (200),8_11818
8,11819,11819-Physical Examination (300),8_11819
8,1182,G131-Coombs Test Direct (By Gel Technology)C0110 | DCT | HCOOD,8_1182
100,1182,G131-Coombs Test Direct (By Gel Technology),100_1182
8,11820,11820-Physical Examination (400),8_11820
8,11821,11821-Physical Examination (500),8_11821
8,11822,11822-Physical Examination (600),8_11822
8,11823,11823-Physical Examination (700),8_11823
8,11824,11824-Phlebo Charges (30),8_11824
8,11825,11825-Phlebo Charges (50),8_11825
8,11826,11826-Phlebo Charges (60),8_11826
8,11827,11827-Phlebo Charges (80),8_11827
8,11828,11828-Phlebo Charges (100),8_11828
8,11829,11829-Phlebo Charges (120),8_11829
8,1183,G2068-C-Peptide levelC0126 | CPEP | C-PEPTIDE LEVEL RANDOM | PEPTIDE,8_1183
100,1183,G2068-C-Peptide level,100_1183
8,11830,11830-Phlebo Charges (150),8_11830
8,11831,11831-Phlebo Charges (160),8_11831
8,11832,11832-Phlebo Charges (200),8_11832
8,11833,11833-Phlebo Charges (250),8_11833
8,11834,11834-Phlebo Charges (300),8_11834
